date,DBLCDBCE,DJUSRET,GOLDLNPM,IBOXHY,LBUSTRUU,LUACTRUU,LUTLTRUU,NDDUEAFE,NDUEEGF,RU20INTR Index,SP500,SPTR,SPTRMDCP
2021/6/15,400.3937,1716.85,1865.1,326.3586,2345.96,3488.59,4347.46,7764.345,671.118,11939.77,4246.59,8833.675,4259.08
2021/6/16,399.7771,1702.55,1860.75,326.1341,2338.96,3480.49,4341.71,7775.426,667.137,11912.19,4223.7,8786.178,4231.51
2021/6/17,388.9148,1705.29,1778.7,325.9778,2346.32,3498.84,4401.21,7669.863,663.862,11772.69,4221.86,8782.584,4164.19
2021/6/18,392.7327,1678.11,1773.1,325.7565,2353.83,3517.34,4478.99,7533.369,663.126,11517.01,4166.45,8667.763,4084.49
2021/6/21,396.9164,1712.31,1775.05,326.1294,2346.97,3500.29,4413.66,7536.811,657.957,11766.02,4224.79,8789.522,4178.22
2021/6/22,397.3126,1704.25,1775.05,326.1769,2350.02,3504.03,4421,7597.416,656.2,11816.99,4246.44,8834.558,4182.09
2021/6/23,400.2995,1699.01,1791.6,326.4029,2347.73,3498.99,4410.41,7577.391,662.949,11855.99,4241.84,8825.014,4185.99
2021/6/24,400.9119,1693.6,1784.85,326.6818,2348.38,3501.13,4416.31,7608.854,666.518,12011.57,4266.49,8877.065,4225.72
2021/6/25,399.7994,1706.79,1786.65,326.9485,2344.13,3492.86,4375.96,7646.359,672.498,12015.75,4280.7,8906.791,4263.95
2021/6/28,399.1823,1701.59,1780.3,327.2654,2350.38,3507.03,4417.21,7605.851,673.347,11953.89,4290.61,8927.401,4222.29
2021/6/29,400.0481,1697.12,1755.45,327.4791,2351.66,3510.69,4423.98,7596.312,671.683,11888.11,4291.8,8930.666,4214.19
2021/6/30,404.5539,1686.37,1763.15,327.8421,2353.64,3515.56,4442.38,7527.216,670.617,11897.38,4297.5,8942.777,4218.03
2021/7/1,407.1401,1692.55,1781.5,328.1711,2352.59,3513.11,4442.22,7541.776,667.552,11994.66,4319.94,8990.08,4250.94
2021/7/2,409.4524,1699.88,1786.15,328.3941,2356.68,3521.04,4462.96,7562.231,661.393,11873.43,4352.34,9058.659,4239.5
2021/7/6,398.3469,1714.11,1809.85,328.6957,2365.13,3538.43,4518,7557.799,657.439,11712.61,4343.54,9040.76,4193.07
2021/7/7,395.9144,1721.04,1804.65,329.0356,2369.34,3546.39,4557.22,7570.914,655.034,11601.19,4358.13,9071.143,4197.63
2021/7/8,397.2814,1717.29,1807.7,328.551,2372.25,3548.35,4574.58,7504.52,643.176,11492.43,4320.82,8995.262,4143.96
2021/7/9,402.2428,1743.79,1806,328.7313,2363.88,3531.42,4514.95,7556.69,644.199,11741.65,4369.55,9096.84,4234.93
2021/7/12,402.325,1757.41,1792.4,328.8937,2363.49,3531.69,4509.52,7634.75,648.449,11751.15,4384.63,9128.223,4245.96
2021/7/13,406.8752,1732.08,1813.85,328.7374,2357.84,3519.74,4475.2,7630.629,654.711,11529.98,4369.21,9096.148,4180.91
2021/7/14,403.5904,1745.71,1823.2,328.5974,2365.74,3536.28,4525.15,7623.316,654.2,11342.51,4374.3,9107.848,4157.22
2021/7/15,401.1145,1749.61,1823.75,328.2265,2371.17,3546.36,4571.1,7552.189,659.329,11280.71,4360.03,9078.328,4145.08
2021/7/16,402.0132,1751.26,1824.3,328.0941,2369.54,3542.4,4562.97,7522.258,655.254,11141.43,4327.16,9009.89,4095.73
2021/7/19,384.9,1720.85,1814.9,326.2969,2381.39,3563.11,4658.65,7384.943,644.136,10973.8,4258.49,8867.066,4023.84
2021/7/20,389.1588,1758.55,1823.05,327.1789,2378.62,3555.75,4617.75,7362.353,641.163,11301.46,4323.06,9001.771,4135.2
2021/7/21,398.2779,1756.13,1802.15,327.9904,2371.01,3544.12,4562.19,7466.145,641.742,11506.26,4358.69,9075.975,4185.46
2021/7/22,401.9702,1743.18,1799.45,328.2328,2376.76,3556.08,4600.51,7507.978,648.864,11328.47,4367.48,9094.954,4147.03
2021/7/23,402.756,1759.07,1799.6,328.4457,2374.12,3550.98,4572.66,7537.417,641.534,11381.17,4411.79,9187.635,4183.21
2021/7/26,404.9431,1757.87,1800.2,328.556,2372.78,3548.79,4561.03,7572.662,626.397,11418.62,4422.3,9209.632,4188.21
2021/7/27,403.8292,1770.44,1800.35,328.1616,2378.52,3560.55,4606.17,7565.952,612.95,11289.44,4401.46,9166.267,4164.3
2021/7/28,406.3995,1761.72,1796.6,328.1898,2379.93,3564.62,4607.81,7560.687,620.724,11460.06,4400.64,9164.62,4194.24
2021/7/29,412.3596,1761.25,1829.3,328.4406,2376.35,3557.31,4581.92,7651.604,634.052,11538.34,4419.15,9204.248,4236.46
2021/7/30,411.2206,1765.7,1825.75,328.4566,2379.96,3563.68,4604.42,7583.892,625.485,11467.78,4395.26,9155.212,4232.58
2021/8/2,405.7885,1762.54,1811.45,328.5604,2385.72,3574.25,4643.33,7676.699,633.052,11412.56,4387.16,9138.36,4214.42
2021/8/3,403.5303,1765.58,1812.65,328.0669,2385.81,3573.96,4645.77,7673.914,633.581,11454.51,4423.15,9213.348,4240.99
2021/8/4,398.3223,1758.82,1829.1,327.7739,2385.78,3574.19,4656.42,7683.38,638.39,11314.49,4402.66,9170.761,4197.94
2021/8/5,402.9263,1777,1800.75,327.8898,2380.47,3563.54,4632.59,7707.962,636.553,11519.57,4429.1,9226.488,4237.16
2021/8/6,401.0067,1772.15,1762.9,327.8704,2369.92,3539.31,4560,7663.235,632.858,11580.65,4436.52,9243.027,4254.87
2021/8/9,394.2652,1763.55,1738.85,327.5907,2366.72,3530.61,4545.23,7666.439,633.719,11514.46,4432.35,9235.048,4243.23
2021/8/10,401.0585,1744.63,1723.35,327.3086,2363,3523.27,4525.47,7675.178,636.777,11538.36,4436.75,9244.216,4258.21
2021/8/11,404.6424,1755.3,1743.6,327.044,2364.58,3524.21,4522.39,7725.276,635.533,11595.28,4447.7,9267.403,4293.7
2021/8/12,403.9977,1760.61,1747.4,327.1985,2363.86,3524.87,4516.5,7728.751,632.372,11564.11,4460.83,9297.199,4287.4
2021/8/13,402.9846,1771.38,1773.85,327.4551,2372.52,3545.85,4580.81,7782.779,627.472,11457.32,4468,9312.511,4278.82
2021/8/16,399.5915,1770.26,1786.35,327.4863,2375.07,3550.45,4592.96,7730.309,623.357,11356.55,4479.71,9337.181,4268.64
2021/8/17,396.2473,1770.4,1789.45,327.2996,2373.34,3546.15,4593.15,7678.229,615.608,11221.59,4448.08,9271.829,4218.17
2021/8/18,392.9984,1752.59,1783.45,327.5044,2373.92,3547.22,4605.93,7681.3,618.502,11127.25,4400.27,9173.93,4178.48
2021/8/19,384.6928,1763.12,1782.05,327.0374,2376.97,3552.13,4637.12,7559.506,604.2,10992.25,4405.8,9186.07,4143.73
2021/8/20,377.6778,1771.81,1779.05,327.3303,2376.36,3552.53,4639.14,7553.534,598.513,11173.94,4441.67,9261.306,4192.29
2021/8/23,390.2425,1767.09,1802,328.0608,2377.7,3554.64,4637.35,7655.383,606.783,11383.97,4479.53,9341.091,4228.95
2021/8/24,398.6355,1759.16,1808.45,328.5909,2373.69,3546.83,4605.21,7689.055,622.725,11500.57,4486.23,9355.11,4271.53
2021/8/25,402.8553,1757.66,1788.7,328.8675,2368.86,3538.44,4567.64,7680.699,625.371,11543.82,4496.19,9376,4295.4
2021/8/26,398.8477,1757.78,1786.6,328.9663,2369.93,3541.03,4580.16,7660.603,620.915,11413.92,4470,9321.736,4256.88
2021/8/27,404.2304,1774.44,1798.5,329.6658,2375.18,3552.38,4605.96,7694.051,624.132,11739.76,4509.37,9404.147,4335.92
2021/8/30,405.6426,1793.09,1798.5,330.324,2378.43,3559.57,4618.9,7723.646,630.382,11682.83,4528.79,9445.244,4326.11
2021/8/31,404.6793,1802.61,1814.85,330.5544,2375.43,3552.9,4594.73,7717.667,641.858,11724.3,4522.68,9433.582,4315.05
2021/9/1,403.6455,1831.75,1811.8,330.6833,2375.49,3553.47,4597.31,7787.692,643.731,11792.97,4524.09,9437.155,4326.16
2021/9/2,408.1143,1841.66,1812.55,331.0392,2377.94,3559.72,4615.93,7817.409,643.49,11881.13,4536.95,9465.467,4347.78
2021/9/3,407.7274,1842.71,1823.7,331.0584,2373.82,3549.6,4577.04,7832.52,645.477,11819.59,4535.43,9462.539,4327.12
2021/9/7,403.4128,1821.57,1802.15,330.8439,2368.35,3536.04,4542.96,7864.714,650.35,11735.02,4520.03,9430.683,4276.57
2021/9/8,405.9989,1832.86,1786,330.8434,2372.08,3544.55,4569.34,7804.797,644.547,11601.88,4514.07,9418.572,4261.59
2021/9/9,403.0806,1796.25,1788.25,331.114,2378.68,3562.13,4620.62,7785.648,638.002,11600.08,4493.28,9375.99,4251.74
2021/9/10,409.0739,1772.93,1794.6,331.3597,2374.34,3553.65,4584.47,7808.551,642.453,11488.85,4458.58,9304.033,4212.17
2021/9/13,410.8315,1781.34,1793.9,331.5668,2377.75,3562.24,4612.12,7814.114,638.866,11557.24,4468.73,9325.286,4238.43
2021/9/14,410.9315,1777.13,1792.75,331.4788,2383.81,3574.77,4660.5,7837.64,636.295,11400.79,4443.05,9273.99,4192.23
2021/9/15,417.1366,1782.61,1796.95,331.7839,2381.38,3570.3,4644.47,7778.641,632.715,11527.28,4480.7,9352.831,4237.28
2021/9/16,415.0417,1785.66,1747.95,331.602,2377.11,3562.39,4624.54,7758.466,627.069,11519.9,4473.75,9338.611,4230.59
2021/9/17,411.9474,1768.77,1755.95,331.4965,2373.67,3556.45,4602.05,7700.749,628.33,11540.62,4432.99,9253.566,4200.8
2021/9/20,404.8236,1760.37,1757.75,330.2762,2380.29,3568.17,4657.65,7601.448,617.99,11258.67,4357.73,9096.524,4134.08
2021/9/21,406.1866,1760.26,1774.45,330.8653,2379.79,3568.64,4652.58,7630.191,619.601,11279.35,4354.19,9089.553,4127.3
2021/9/22,413.0193,1776.52,1773.4,331.3555,2381.71,3575.82,4676.78,7660.716,620.304,11446.75,4395.64,9176.078,4181.24
2021/9/23,417.9124,1770.35,1750,331.3043,2368.44,3551.5,4578.59,7715.251,625.592,11655.85,4448.98,9287.8,4241.38
2021/9/24,420.2449,1750.9,1746.8,330.9567,2364.23,3543.89,4538.18,7677.745,621.95,11599.53,4455.48,9301.492,4234.48
2021/9/27,425.6976,1726.23,1755.3,330.7611,2361.23,3539.73,4520.1,7666.3,623.07,11769.52,4443.11,9275.872,4272.23
2021/9/28,423.5416,1715.56,1733.75,329.8292,2352.48,3515.8,4453.97,7528.674,619.968,11505.3,4352.63,9087.465,4207.05
2021/9/29,423.1345,1727.18,1737.15,330.1991,2354.38,3519.4,4463.81,7493.266,615.455,11485.63,4359.46,9102.616,4208.4
